state,year,quarter,registered_users,app_opens
chhattisgarh,2023,3,0,0
chhattisgarh,2023,4,0,0
chhattisgarh,2024,1,0,0
chhattisgarh,2024,2,0,0
chhattisgarh,2024,3,0,0
chhattisgarh,2024,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2024,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2024,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2024,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2024,4,0,0
delhi,2018,1,0,0
delhi,2018,2,0,0
delhi,2018,3,0,0
delhi,2018,4,0,0
delhi,2019,1,0,0
delhi,2019,2,0,0
delhi,2019,3,0,0
delhi,2019,4,0,0
delhi,2020,1,0,0
delhi,2020,2,0,0
delhi,2020,3,0,0
delhi,2020,4,0,0
delhi,2021,1,0,0
delhi,2021,2,0,0
delhi,2021,3,0,0
delhi,2021,4,0,0
delhi,2022,1,0,0
delhi,2022,2,0,0
delhi,2022,3,0,0
delhi,2022,4,0,0
delhi,2023,1,0,0
delhi,2023,2,0,0
delhi,2023,3,0,0
delhi,2023,4,0,0
delhi,2024,1,0,0
delhi,2024,2,0,0
delhi,2024,3,0,0
delhi,2024,4,0,0
goa,2018,1,0,0
goa,2018,2,0,0
goa,2018,3,0,0
goa,2018,4,0,0
goa,2019,1,0,0
goa,2019,2,0,0
goa,2019,3,0,0
goa,2019,4,0,0
goa,2020,1,0,0
goa,2020,2,0,0
goa,2020,3,0,0
goa,2020,4,0,0
goa,2021,1,0,0
goa,2021,2,0,0
goa,2021,3,0,0
goa,2021,4,0,0
goa,2022,1,0,0
goa,2022,2,0,0
goa,2022,3,0,0
goa,2022,4,0,0
goa,2023,1,0,0
goa,2023,2,0,0
goa,2023,3,0,0
goa,2023,4,0,0
goa,2024,1,0,0
goa,2024,2,0,0
goa,2024,3,0,0
goa,2024,4,0,0
gujarat,2018,1,0,0
gujarat,2018,2,0,0
gujarat,2018,3,0,0
gujarat,2018,4,0,0
gujarat,2019,1,0,0
gujarat,2019,2,0,0
gujarat,2019,3,0,0
gujarat,2019,4,0,0
gujarat,2020,1,0,0
gujarat,2020,2,0,0
gujarat,2020,3,0,0
gujarat,2020,4,0,0
gujarat,2021,1,0,0
gujarat,2021,2,0,0
gujarat,2021,3,0,0
gujarat,2021,4,0,0
gujarat,2022,1,0,0
gujarat,2022,2,0,0
gujarat,2022,3,0,0
gujarat,2022,4,0,0
gujarat,2023,1,0,0
gujarat,2023,2,0,0
gujarat,2023,3,0,0
gujarat,2023,4,0,0
gujarat,2024,1,0,0
gujarat,2024,2,0,0
gujarat,2024,3,0,0
gujarat,2024,4,0,0
haryana,2018,1,0,0
haryana,2018,2,0,0
haryana,2018,3,0,0
haryana,2018,4,0,0
haryana,2019,1,0,0
haryana,2019,2,0,0
haryana,2019,3,0,0
haryana,2019,4,0,0
haryana,2020,1,0,0
haryana,2020,2,0,0
haryana,2020,3,0,0
haryana,2020,4,0,0
haryana,2021,1,0,0
haryana,2021,2,0,0
haryana,2021,3,0,0
haryana,2021,4,0,0
haryana,2022,1,0,0
haryana,2022,2,0,0
haryana,2022,3,0,0
haryana,2022,4,0,0
haryana,2023,1,0,0
haryana,2023,2,0,0
haryana,2023,3,0,0
haryana,2023,4,0,0
haryana,2024,1,0,0
haryana,2024,2,0,0
haryana,2024,3,0,0
haryana,2024,4,0,0
himachal-pradesh,2018,1,0,0
himachal-pradesh,2018,2,0,0
himachal-pradesh,2018,3,0,0
himachal-pradesh,2018,4,0,0
himachal-pradesh,2019,1,0,0
himachal-pradesh,2019,2,0,0
himachal-pradesh,2019,3,0,0
himachal-pradesh,2019,4,0,0
himachal-pradesh,2020,1,0,0
himachal-pradesh,2020,2,0,0
himachal-pradesh,2020,3,0,0
himachal-pradesh,2020,4,0,0
himachal-pradesh,2021,1,0,0
himachal-pradesh,2021,2,0,0
himachal-pradesh,2021,3,0,0
himachal-pradesh,2021,4,0,0
himachal-pradesh,2022,1,0,0
himachal-pradesh,2022,2,0,0
himachal-pradesh,2022,3,0,0
himachal-pradesh,2022,4,0,0
himachal-pradesh,2023,1,0,0
himachal-pradesh,2023,2,0,0
himachal-pradesh,2023,3,0,0
himachal-pradesh,2023,4,0,0
himachal-pradesh,2024,1,0,0
himachal-pradesh,2024,2,0,0
himachal-pradesh,2024,3,0,0
himachal-pradesh,2024,4,0,0
jammu-&-kashmir,2018,1,0,0
jammu-&-kashmir,2018,2,0,0
jammu-&-kashmir,2018,3,0,0
jammu-&-kashmir,2018,4,0,0
jammu-&-kashmir,2019,1,0,0
jammu-&-kashmir,2019,2,0,0
jammu-&-kashmir,2019,3,0,0
jammu-&-kashmir,2019,4,0,0
jammu-&-kashmir,2020,1,0,0
jammu-&-kashmir,2020,2,0,0
jammu-&-kashmir,2020,3,0,0
jammu-&-kashmir,2020,4,0,0
jammu-&-kashmir,2021,1,0,0
jammu-&-kashmir,2021,2,0,0
jammu-&-kashmir,2021,3,0,0
jammu-&-kashmir,2021,4,0,0
jammu-&-kashmir,2022,1,0,0
jammu-&-kashmir,2022,2,0,0
jammu-&-kashmir,2022,3,0,0
jammu-&-kashmir,2022,4,0,0
jammu-&-kashmir,2023,1,0,0
jammu-&-kashmir,2023,2,0,0
jammu-&-kashmir,2023,3,0,0
jammu-&-kashmir,2023,4,0,0
jammu-&-kashmir,2024,1,0,0
jammu-&-kashmir,2024,2,0,0
jammu-&-kashmir,2024,3,0,0
jammu-&-kashmir,2024,4,0,0
jharkhand,2018,1,0,0
jharkhand,2018,2,0,0
jharkhand,2018,3,0,0
jharkhand,2018,4,0,0
jharkhand,2019,1,0,0
jharkhand,2019,2,0,0
jharkhand,2019,3,0,0
jharkhand,2019,4,0,0
jharkhand,2020,1,0,0
jharkhand,2020,2,0,0
jharkhand,2020,3,0,0
jharkhand,2020,4,0,0
jharkhand,2021,1,0,0
jharkhand,2021,2,0,0
jharkhand,2021,3,0,0
jharkhand,2021,4,0,0
jharkhand,2022,1,0,0
jharkhand,2022,2,0,0
jharkhand,2022,3,0,0
jharkhand,2022,4,0,0
jharkhand,2023,1,0,0
jharkhand,2023,2,0,0
jharkhand,2023,3,0,0
jharkhand,2023,4,0,0
jharkhand,2024,1,0,0
jharkhand,2024,2,0,0
jharkhand,2024,3,0,0
jharkhand,2024,4,0,0
karnataka,2018,1,0,0
karnataka,2018,2,0,0
karnataka,2018,3,0,0
karnataka,2018,4,0,0
karnataka,2019,1,0,0
karnataka,2019,2,0,0
karnataka,2019,3,0,0
karnataka,2019,4,0,0
karnataka,2020,1,0,0
karnataka,2020,2,0,0
karnataka,2020,3,0,0
karnataka,2020,4,0,0
karnataka,2021,1,0,0
karnataka,2021,2,0,0
karnataka,2021,3,0,0
karnataka,2021,4,0,0
karnataka,2022,1,0,0
karnataka,2022,2,0,0
karnataka,2022,3,0,0
karnataka,2022,4,0,0
karnataka,2023,1,0,0
karnataka,2023,2,0,0
karnataka,2023,3,0,0
karnataka,2023,4,0,0
karnataka,2024,1,0,0
karnataka,2024,2,0,0
karnataka,2024,3,0,0
karnataka,2024,4,0,0
kerala,2018,1,0,0
kerala,2018,2,0,0
kerala,2018,3,0,0
kerala,2018,4,0,0
kerala,2019,1,0,0
kerala,2019,2,0,0
kerala,2019,3,0,0
kerala,2019,4,0,0
kerala,2020,1,0,0
kerala,2020,2,0,0
kerala,2020,3,0,0
kerala,2020,4,0,0
kerala,2021,1,0,0
kerala,2021,2,0,0
kerala,2021,3,0,0
kerala,2021,4,0,0
kerala,2022,1,0,0
kerala,2022,2,0,0
kerala,2022,3,0,0
kerala,2022,4,0,0
kerala,2023,1,0,0
kerala,2023,2,0,0
kerala,2023,3,0,0
kerala,2023,4,0,0
kerala,2024,1,0,0
kerala,2024,2,0,0
kerala,2024,3,0,0
kerala,2024,4,0,0
ladakh,2018,1,0,0
ladakh,2018,2,0,0
ladakh,2018,3,0,0
ladakh,2018,4,0,0
ladakh,2019,1,0,0
ladakh,2019,2,0,0
ladakh,2019,3,0,0
ladakh,2019,4,0,0
ladakh,2020,1,0,0
ladakh,2020,2,0,0
ladakh,2020,3,0,0
ladakh,2020,4,0,0
ladakh,2021,1,0,0
ladakh,2021,2,0,0
ladakh,2021,3,0,0
ladakh,2021,4,0,0
ladakh,2022,1,0,0
ladakh,2022,2,0,0
ladakh,2022,3,0,0
ladakh,2022,4,0,0
ladakh,2023,1,0,0
ladakh,2023,2,0,0
ladakh,2023,3,0,0
ladakh,2023,4,0,0
ladakh,2024,1,0,0
ladakh,2024,2,0,0
ladakh,2024,3,0,0
ladakh,2024,4,0,0
lakshadweep,2018,1,0,0
lakshadweep,2018,2,0,0
lakshadweep,2018,3,0,0
lakshadweep,2018,4,0,0
lakshadweep,2019,1,0,0
lakshadweep,2019,2,0,0
lakshadweep,2019,3,0,0
lakshadweep,2019,4,0,0
lakshadweep,2020,1,0,0
lakshadweep,2020,2,0,0
lakshadweep,2020,3,0,0
lakshadweep,2020,4,0,0
lakshadweep,2021,1,0,0
lakshadweep,2021,2,0,0
lakshadweep,2021,3,0,0
lakshadweep,2021,4,0,0
lakshadweep,2022,1,0,0
lakshadweep,2022,2,0,0
lakshadweep,2022,3,0,0
lakshadweep,2022,4,0,0
lakshadweep,2023,1,0,0
lakshadweep,2023,2,0,0
lakshadweep,2023,3,0,0
lakshadweep,2023,4,0,0
lakshadweep,2024,1,0,0
lakshadweep,2024,2,0,0
lakshadweep,2024,3,0,0
lakshadweep,2024,4,0,0
madhya-pradesh,2018,1,0,0
madhya-pradesh,2018,2,0,0
madhya-pradesh,2018,3,0,0
madhya-pradesh,2018,4,0,0
madhya-pradesh,2019,1,0,0
madhya-pradesh,2019,2,0,0
madhya-pradesh,2019,3,0,0
madhya-pradesh,2019,4,0,0
madhya-pradesh,2020,1,0,0
madhya-pradesh,2020,2,0,0
madhya-pradesh,2020,3,0,0
madhya-pradesh,2020,4,0,0
madhya-pradesh,2021,1,0,0
madhya-pradesh,2021,2,0,0
madhya-pradesh,2021,3,0,0
madhya-pradesh,2021,4,0,0
madhya-pradesh,2022,1,0,0
madhya-pradesh,2022,2,0,0
madhya-pradesh,2022,3,0,0
madhya-pradesh,2022,4,0,0
madhya-pradesh,2023,1,0,0
madhya-pradesh,2023,2,0,0
madhya-pradesh,2023,3,0,0
madhya-pradesh,2023,4,0,0
madhya-pradesh,2024,1,0,0
madhya-pradesh,2024,2,0,0
madhya-pradesh,2024,3,0,0
madhya-pradesh,2024,4,0,0
maharashtra,2018,1,0,0
maharashtra,2018,2,0,0
maharashtra,2018,3,0,0
maharashtra,2018,4,0,0
maharashtra,2019,1,0,0
maharashtra,2019,2,0,0
maharashtra,2019,3,0,0
maharashtra,2019,4,0,0
maharashtra,2020,1,0,0
maharashtra,2020,2,0,0
maharashtra,2020,3,0,0
maharashtra,2020,4,0,0
maharashtra,2021,1,0,0
maharashtra,2021,2,0,0
maharashtra,2021,3,0,0
maharashtra,2021,4,0,0
maharashtra,2022,1,0,0
maharashtra,2022,2,0,0
maharashtra,2022,3,0,0
maharashtra,2022,4,0,0
maharashtra,2023,1,0,0
maharashtra,2023,2,0,0
maharashtra,2023,3,0,0
maharashtra,2023,4,0,0
maharashtra,2024,1,0,0
maharashtra,2024,2,0,0
maharashtra,2024,3,0,0
maharashtra,2024,4,0,0
manipur,2018,1,0,0
manipur,2018,2,0,0
manipur,2018,3,0,0
manipur,2018,4,0,0
manipur,2019,1,0,0
manipur,2019,2,0,0
manipur,2019,3,0,0
manipur,2019,4,0,0
manipur,2020,1,0,0
manipur,2020,2,0,0
manipur,2020,3,0,0
manipur,2020,4,0,0
manipur,2021,1,0,0
manipur,2021,2,0,0
manipur,2021,3,0,0
manipur,2021,4,0,0
manipur,2022,1,0,0
manipur,2022,2,0,0
manipur,2022,3,0,0
manipur,2022,4,0,0
manipur,2023,1,0,0
manipur,2023,2,0,0
manipur,2023,3,0,0
manipur,2023,4,0,0
manipur,2024,1,0,0
manipur,2024,2,0,0
manipur,2024,3,0,0
manipur,2024,4,0,0
meghalaya,2018,1,0,0
meghalaya,2018,2,0,0
meghalaya,2018,3,0,0
meghalaya,2018,4,0,0
meghalaya,2019,1,0,0
meghalaya,2019,2,0,0
meghalaya,2019,3,0,0
meghalaya,2019,4,0,0
meghalaya,2020,1,0,0
meghalaya,2020,2,0,0
meghalaya,2020,3,0,0
meghalaya,2020,4,0,0
meghalaya,2021,1,0,0
meghalaya,2021,2,0,0
meghalaya,2021,3,0,0
meghalaya,2021,4,0,0
meghalaya,2022,1,0,0
meghalaya,2022,2,0,0
meghalaya,2022,3,0,0
meghalaya,2022,4,0,0
meghalaya,2023,1,0,0
meghalaya,2023,2,0,0
meghalaya,2023,3,0,0
meghalaya,2023,4,0,0
meghalaya,2024,1,0,0
meghalaya,2024,2,0,0
meghalaya,2024,3,0,0
meghalaya,2024,4,0,0
mizoram,2018,1,0,0
mizoram,2018,2,0,0
mizoram,2018,3,0,0
mizoram,2018,4,0,0
mizoram,2019,1,0,0
mizoram,2019,2,0,0
mizoram,2019,3,0,0
mizoram,2019,4,0,0
mizoram,2020,1,0,0
mizoram,2020,2,0,0
mizoram,2020,3,0,0
mizoram,2020,4,0,0
mizoram,2021,1,0,0
mizoram,2021,2,0,0
mizoram,2021,3,0,0
mizoram,2021,4,0,0
mizoram,2022,1,0,0
mizoram,2022,2,0,0
mizoram,2022,3,0,0
mizoram,2022,4,0,0
mizoram,2023,1,0,0
mizoram,2023,2,0,0
mizoram,2023,3,0,0
mizoram,2023,4,0,0
mizoram,2024,1,0,0
mizoram,2024,2,0,0
mizoram,2024,3,0,0
mizoram,2024,4,0,0
nagaland,2018,1,0,0
nagaland,2018,2,0,0
nagaland,2018,3,0,0
nagaland,2018,4,0,0
nagaland,2019,1,0,0
nagaland,2019,2,0,0
nagaland,2019,3,0,0
nagaland,2019,4,0,0
nagaland,2020,1,0,0
nagaland,2020,2,0,0
nagaland,2020,3,0,0
nagaland,2020,4,0,0
nagaland,2021,1,0,0
nagaland,2021,2,0,0
nagaland,2021,3,0,0
nagaland,2021,4,0,0
nagaland,2022,1,0,0
nagaland,2022,2,0,0
nagaland,2022,3,0,0
nagaland,2022,4,0,0
nagaland,2023,1,0,0
nagaland,2023,2,0,0
nagaland,2023,3,0,0
nagaland,2023,4,0,0
nagaland,2024,1,0,0
nagaland,2024,2,0,0
nagaland,2024,3,0,0
nagaland,2024,4,0,0
odisha,2018,1,0,0
odisha,2018,2,0,0
odisha,2018,3,0,0
odisha,2018,4,0,0
odisha,2019,1,0,0
odisha,2019,2,0,0
odisha,2019,3,0,0
odisha,2019,4,0,0
odisha,2020,1,0,0
odisha,2020,2,0,0
odisha,2020,3,0,0
odisha,2020,4,0,0
odisha,2021,1,0,0
odisha,2021,2,0,0
odisha,2021,3,0,0
odisha,2021,4,0,0
odisha,2022,1,0,0
odisha,2022,2,0,0
odisha,2022,3,0,0
odisha,2022,4,0,0
odisha,2023,1,0,0
odisha,2023,2,0,0
odisha,2023,3,0,0
odisha,2023,4,0,0
odisha,2024,1,0,0
odisha,2024,2,0,0
odisha,2024,3,0,0
odisha,2024,4,0,0
puducherry,2018,1,0,0
puducherry,2018,2,0,0
puducherry,2018,3,0,0
puducherry,2018,4,0,0
puducherry,2019,1,0,0
puducherry,2019,2,0,0
puducherry,2019,3,0,0
puducherry,2019,4,0,0
puducherry,2020,1,0,0
puducherry,2020,2,0,0
puducherry,2020,3,0,0
puducherry,2020,4,0,0
puducherry,2021,1,0,0
puducherry,2021,2,0,0
puducherry,2021,3,0,0
puducherry,2021,4,0,0
puducherry,2022,1,0,0
puducherry,2022,2,0,0
puducherry,2022,3,0,0
puducherry,2022,4,0,0
puducherry,2023,1,0,0
puducherry,2023,2,0,0
puducherry,2023,3,0,0
puducherry,2023,4,0,0
puducherry,2024,1,0,0
puducherry,2024,2,0,0
puducherry,2024,3,0,0
puducherry,2024,4,0,0
punjab,2018,1,0,0
punjab,2018,2,0,0
punjab,2018,3,0,0
punjab,2018,4,0,0
punjab,2019,1,0,0
punjab,2019,2,0,0
punjab,2019,3,0,0
punjab,2019,4,0,0
punjab,2020,1,0,0
punjab,2020,2,0,0
punjab,2020,3,0,0
punjab,2020,4,0,0
punjab,2021,1,0,0
punjab,2021,2,0,0
punjab,2021,3,0,0
punjab,2021,4,0,0
punjab,2022,1,0,0
punjab,2022,2,0,0
punjab,2022,3,0,0
punjab,2022,4,0,0
punjab,2023,1,0,0
punjab,2023,2,0,0
punjab,2023,3,0,0
punjab,2023,4,0,0
punjab,2024,1,0,0
punjab,2024,2,0,0
punjab,2024,3,0,0
punjab,2024,4,0,0
rajasthan,2018,1,0,0
rajasthan,2018,2,0,0
rajasthan,2018,3,0,0
rajasthan,2018,4,0,0
rajasthan,2019,1,0,0
rajasthan,2019,2,0,0
rajasthan,2019,3,0,0
rajasthan,2019,4,0,0
rajasthan,2020,1,0,0
rajasthan,2020,2,0,0
rajasthan,2020,3,0,0
rajasthan,2020,4,0,0
rajasthan,2021,1,0,0
rajasthan,2021,2,0,0
rajasthan,2021,3,0,0
rajasthan,2021,4,0,0
rajasthan,2022,1,0,0
rajasthan,2022,2,0,0
rajasthan,2022,3,0,0
rajasthan,2022,4,0,0
rajasthan,2023,1,0,0
rajasthan,2023,2,0,0
rajasthan,2023,3,0,0
rajasthan,2023,4,0,0
rajasthan,2024,1,0,0
rajasthan,2024,2,0,0
rajasthan,2024,3,0,0
rajasthan,2024,4,0,0
sikkim,2018,1,0,0
sikkim,2018,2,0,0
sikkim,2018,3,0,0
sikkim,2018,4,0,0
sikkim,2019,1,0,0
sikkim,2019,2,0,0
sikkim,2019,3,0,0
sikkim,2019,4,0,0
sikkim,2020,1,0,0
sikkim,2020,2,0,0
sikkim,2020,3,0,0
sikkim,2020,4,0,0
sikkim,2021,1,0,0
sikkim,2021,2,0,0
sikkim,2021,3,0,0
sikkim,2021,4,0,0
sikkim,2022,1,0,0
sikkim,2022,2,0,0
sikkim,2022,3,0,0
sikkim,2022,4,0,0
sikkim,2023,1,0,0
sikkim,2023,2,0,0
sikkim,2023,3,0,0
sikkim,2023,4,0,0
sikkim,2024,1,0,0
sikkim,2024,2,0,0
sikkim,2024,3,0,0
sikkim,2024,4,0,0
tamil-nadu,2018,1,0,0
tamil-nadu,2018,2,0,0
tamil-nadu,2018,3,0,0
tamil-nadu,2018,4,0,0
tamil-nadu,2019,1,0,0
tamil-nadu,2019,2,0,0
tamil-nadu,2019,3,0,0
tamil-nadu,2019,4,0,0
tamil-nadu,2020,1,0,0
tamil-nadu,2020,2,0,0
tamil-nadu,2020,3,0,0
tamil-nadu,2020,4,0,0
tamil-nadu,2021,1,0,0
tamil-nadu,2021,2,0,0
tamil-nadu,2021,3,0,0
tamil-nadu,2021,4,0,0
tamil-nadu,2022,1,0,0
tamil-nadu,2022,2,0,0
tamil-nadu,2022,3,0,0
tamil-nadu,2022,4,0,0
tamil-nadu,2023,1,0,0
tamil-nadu,2023,2,0,0
tamil-nadu,2023,3,0,0
tamil-nadu,2023,4,0,0
tamil-nadu,2024,1,0,0
tamil-nadu,2024,2,0,0
tamil-nadu,2024,3,0,0
tamil-nadu,2024,4,0,0
telangana,2018,1,0,0
telangana,2018,2,0,0
telangana,2018,3,0,0
telangana,2018,4,0,0
telangana,2019,1,0,0
telangana,2019,2,0,0
telangana,2019,3,0,0
telangana,2019,4,0,0
telangana,2020,1,0,0
telangana,2020,2,0,0
telangana,2020,3,0,0
telangana,2020,4,0,0
telangana,2021,1,0,0
telangana,2021,2,0,0
telangana,2021,3,0,0
telangana,2021,4,0,0
telangana,2022,1,0,0
telangana,2022,2,0,0
telangana,2022,3,0,0
telangana,2022,4,0,0
telangana,2023,1,0,0
telangana,2023,2,0,0
telangana,2023,3,0,0
telangana,2023,4,0,0
telangana,2024,1,0,0
